origem_id,origem_tipo,titulo,deliverable_id,artefato,status_fechamento,notas
REQ-001,REQ,Página Por Tema,DELIVERABLE-DEMO-001,wp-content/plugins/dsn-dashboard,FECHADO,
REQ-002,REQ,Página Por Plataforma,DELIVERABLE-DEMO-001,wp-content/plugins/dsn-dashboard,FECHADO,
REQ-003,REQ,Carrossel sem scroll,DELIVERABLE-DEMO-001,MOD-CAROUSEL,FECHADO_COM_RESSALVA,BUG-001
REQ-004,REQ,Embed Kibana,DELIVERABLE-DEMO-001,iframe Kibana,FECHADO_COM_RESSALVA,BUG-002
REQ-005,REQ,Embed Shiny,DELIVERABLE-DEMO-001,docker/shiny,FECHADO,
REQ-006,REQ,Homogeneidade visual,DELIVERABLE-DEMO-001,assets/css tokens,FECHADO_COM_RESSALVA,BUG-005
REQ-007,REQ,Seed ficticio,DELIVERABLE-SEED-001,scripts/seed,FECHADO,
REQ-008,REQ,Analises acessiveis,DELIVERABLE-DEMO-001,legendas/shortcode,FECHADO,
REQ-009,REQ,Taxonomia temas,DELIVERABLE-SEED-001,schema+seed 15 temas,FECHADO,
REQ-010,REQ,Taxonomia plataformas,DELIVERABLE-SEED-001,schema+seed 4 plataformas,FECHADO,
REQ-011,REQ,Docker Compose,DELIVERABLE-DEMO-001,docker/docker-compose.yml,FECHADO,
REQ-012,REQ,Headers frame,DELIVERABLE-DEMO-001,kibana.yml+shiny nginx,FECHADO,
RF-001,RF,Página Por Tema,DELIVERABLE-DEMO-001,plugin+paginas WP,FECHADO,
RF-002,RF,Página Por Plataforma,DELIVERABLE-DEMO-001,plugin+paginas WP,FECHADO,
RF-003,RF,Carrossel sem scroll,DELIVERABLE-QA-001,relatorio-qa BUG-001,FECHADO_COM_RESSALVA,BUG-001
RF-004,RF,4 slides Tema,DELIVERABLE-DEMO-001,shortcode slides,FECHADO,
RF-005,RF,4 slides Plataforma,DELIVERABLE-DEMO-001,shortcode slides,FECHADO,
RF-006,RF,Embed Kibana,DELIVERABLE-QA-001,relatorio-qa BUG-002,FECHADO_COM_RESSALVA,BUG-002
RF-007,RF,Embed Shiny,DELIVERABLE-DEMO-001,shiny app,FECHADO,
